Gene_A,Gene_B,posterior_edge
Kat2b,Nr2c1,0.5204669616844597
Tut4,Lin28a,0.5
Lin28a,Lin28a,0.5
Itpkb,Itpkb,0.5
Plxnb2,Plxnb2,0.5
Syce3,Syce3,0.5
Syce3,Syce2,0.5
Syce3,Syce1,0.5
Sult6b2,Sult6b2,0.5
Qtrt2,Qtrt2,0.5
Qtrt2,Qtrt1,0.5
Qtrt1,Qtrt1,0.5
H2ac4,H2ac4,0.9700464583067152
H2ac4,H4c1,0.9754855317516522
H2ac4,H3c1,0.9755820905066513
H2ac4,H3-3a,0.9508584222127814
H2ac4,H2bc4,0.9263625300099155
H2ac4,H2bu2,0.9356113872175075
H4c1,H2ac7,0.9280933164463496
H4c1,H3c1,0.9810852187052569
H4c1,H3-3a,0.9560754641207614
H4c1,Kmt5c,0.7390707528253756
H4c1,H2bc4,0.9312961213047994
H4c1,Brdt,0.8817727874988616
H4c1,H2bu2,0.9406520003029929
H4c1,Orc1,0.7390707528253756
H3c1,Morc3,0.7391652034748477
H3c1,Wdr5,0.9219277293827355
H3c1,H3c1,0.9811829146111568
H3c1,Cbx1,0.8587594956373134
H3c1,Brdt,0.8818503156308275
H3c1,H2bu2,0.9407414852729781
H3c1,Abcb9,0.7391652034748477
H3c1,Carm1,0.7602694670377558
H3-3a,H2ac7,0.9059208205595786
H3-3a,Daxx,0.7247877743824481
H3-3a,H3-3a,0.932453671946526
H3-3a,Hira,0.6643094684582229
H3-3a,Cbx5,0.8401267655648089
H2bc4,H2ac7,0.8838664634189826
H2bc4,H2bc4,0.8867383825235367
H2bu2,H2ac12,0.6533847739484088
H2bu2,H2bu2,0.9036989904298791
H2ac7,H2ac7,0.8810158711847773
Gls,Gls,0.5
Piezo1,Piezo1,0.5
Piezo1,Mdfic,0.5
Rasa1,Dok2,0.5175205753045135
Dok2,Nck2,0.5175205753045135
Dok2,Egfr,0.565203856717345
Dok2,Tek,0.5628886527938102
Dok2,Nck1,0.5287422589731817
Znf568,Znf568,0.5
Pkhd1,Pkd2,0.5
Ryr1,Ryr1,0.5
Ryr1,Ryr2,0.5
Ryr1,Fkbp1a,0.5
Ryr1,S100a1,0.5
Ryr2,Ryr2,0.5
Ryr2,Prkaca,0.5
Ryr2,Camk2d,0.5
Ryr2,Fkbp1b,0.5
S100a1,S100a1,0.5000000000000001
Kank1,Eif4a1,0.5
Kank1,Kif21a,0.5
Eif4a1,Eif4g1,0.5
Cenpf,Snap25,0.5
