Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
Q91WA6	Q924T7	Sharpin	Rnf31	21455180:0006:LC:binary|21455180:0071:LC:binary|21455181:0006:LC:binary|23942237:0006:LC:binary|29694895:0096:LC:binary|29694895:0114:LC:binary	10090	True	True
Q91WA6	Q9WUB0	Sharpin	Rbck1	21455180:0006:LC:binary|21455180:0071:LC:binary|23942237:0006:LC:binary|23942237:0071:LC:binary|29694895:0096:LC:binary|29694895:0114:LC:binary	10090	True	True
Q91WD5	Q99LC3	Ndufs2	Ndufa10	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9CPP6	Ndufs2	Ndufa5	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9CQZ5	Ndufs2	Ndufa6	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9CXZ1	Ndufs2	Ndufs4	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9D6J5	Ndufs2	Ndufb8	33514727:0114:LC:binary|33990335:0114:LC:binary|37531432:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9D8B4	Ndufs2	Ndufa11	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9DC70	Ndufs2	Ndufs7	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9DCT2	Ndufs2	Ndufs3	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9ERS2	Ndufs2	Ndufa13	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD5	Q9Z1P6	Ndufs2	Ndufa7	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91WD9	Q91WD9	Scgn	Scgn	38593081:0114:LC:binary	10090	True	True
Q91WG0	Q91WG0	Ces2c	Ces2c	36361897:0114:LC:binary	10090	True	True
Q91WG4	Q9CZX0	Elp2	Elp3	36617428:0114:LC:binary	10090	True	True
Q91WP6	Q91WP6	Serpina3n	Serpina3n	16141197:0114:LC:binary	10090	True	True
Q91WQ5	Q9JHD2	Taf5l	Kat2a	20508642:0006:LC:binary|20946988:0096:LC:binary	10090	True	False
Q91WR5	Q91WR5	Akr1c21	Akr1c21	17034817:0114:LC:binary|17442338:0114:LC:binary|17909281:0114:LC:binary|19237748:0114:LC:binary|20124700:0114:LC:binary	10090	True	True
Q91XA9	Q91XA9	Chia	Chia	37398339:0114:LC:binary	10090	True	True
Q91XB0	Q91XB0	Trex1	Trex1	17293595:0114:LC:binary|17355961:0114:LC:binary|18780819:0114:LC:binary|22071149:0114:LC:binary|25848017:0114:LC:binary|29734329:0114:LC:binary|33606975:0114:LC:binary|37870446:0114:LC:binary|PDB_3MXI:0114:LC:binary|PDB_3MXJ:0114:LC:binary|PDB_3MXM:0114:LC:binary|PDB_7U8Y:0114:LC:binary	10090	True	True
Q91XE4	Q91XE4	Acy3	Acy3	17434493:0040:LC:binary|17434493:0071:LC:binary|20921362:0114:LC:binary|23010594:0435:LC:binary	10090	True	False
Q91XL9	Q91XL9	Osbpl1a	Osbpl1a	30012887:0114:LC:binary	10090	True	True
Q91XW9	Q91XW9	Pcdhgc5	Pcdhgc5	26478182:0114:LC:binary	10090	True	True
Q91XX0	Q91XX0	Pcdhgc4	Pcdhgc4	35253643:0114:LC:binary	10090	True	True
Q91XX1	Q91XX1	Pcdhgc3	Pcdhgc3	26481813:0114:LC:binary	10090	True	True
Q91XX3	Q91XX3	Pcdhgb7	Pcdhgb7	27782885:0114:LC:binary|29087338:0114:LC:binary	10090	True	True
Q91XX6	Q91XX6	Pcdhgb4	Pcdhgb4	30971825:0114:LC:binary	10090	True	True
Q91XX7	Q91XX7	Pcdhgb2	Pcdhgb2	27782885:0114:LC:binary	10090	True	True
Q91XZ0	Q91XZ0	Pcdhga1	Pcdhga1	26481813:0114:LC:binary|27782885:0114:LC:binary	10090	True	True
Q91XZ2	Q91XZ2	Pcdhb8	Pcdhb8	27161523:0114:LC:binary	10090	True	True
Q91XZ4	Q91XZ4	Pcdhb6	Pcdhb6	27161523:0114:LC:binary	10090	True	True
Q91Y09	Q91Y09	Pcdhac2	Pcdhac2	26478182:0114:LC:binary	10090	True	True
Q91Y13	Q91Y13	Pcdha7	Pcdha7	27161523:0114:LC:binary	10090	True	True
Q91Y44	Q91Y44	Brdt	Brdt	19794495:0114:LC:binary|22922464:0055:LC:binary	10090	True	True
Q91Y44	Q99J95	Brdt	Cdk9	20593818:0096:LC:binary|22922464:0006:LC:binary	10090	True	False
Q91YI6	Q91YI6	Tent2	Tent2	32633758:0114:LC:binary	10090	True	True
Q91YN5	Q91YN5	Uap1	Uap1	PDB_1VM8:0114:LC:binary	10090	True	True
Q91YN9	Q91YN9	Bag2	Bag2	19029896:0114:LC:binary	10090	True	True
Q91YR1	Q91YR1	Twf1	Twf1	12207032:0114:LC:binary	10090	True	True
