Mt-Cyb	mt-Co3
Mt-Cyb	Cox7a2l
Mt-Cyb	Uqcr11
Mt-Cyb	Uqcrq
Mt-Cyb	Uqcrfs1
Mt-Cyb	Uqcrc1
Mt-Cyb	Cyc1
Mt-Cyb	Uqcrb
Ldhc	Ldhc
Mtco1	Mtco2
Mtco1	mt-Co3
Mtco1	Ndufb1
Mtco1	Cox5a
Mtco1	Cox7c
Mtco1	Cox5b
Mtco1	Cox4i1
Mtco1	Cox6a2
Mtco1	Cox7a2
Mtco1	Cox8b
Mtco1	Cox6b1
Mtco1	Cox7b
Mtco1	Cox7a2l
Mtco1	Cox6c
Mtco1	Uqcrq
Mtco2	mt-Co3
Mtco2	Ndufb1
Mtco2	Cox5a
Mtco2	Cox5b
Mtco2	Cox4i1
Mtco2	Cox6b1
Mtco2	Cox7b
Mtco2	Cox6c
mt-Co3	Cox7c
mt-Co3	Cox5b
mt-Co3	Cox6a2
mt-Co3	Cox7a2
mt-Co3	Cox8b
mt-Co3	Cox6b1
mt-Co3	Cox7a2l
mt-Co3	Uqcrq
mt-Co3	Ndufc1
mt-Co3	Uqcrfs1
mt-Co3	Uqcrb
Abl1	Abl1
Abl1	Sh3bp1
Abl1	Nck1
Rnase1	Rnh1
Klk1b3	Klk1b3
Klk1b3	Klk1b4
Klk1b3	Ngf
Klk1b4	Ngf
Fos	Jun
Fos	Junb
Fos	Mafb
Fos	Atf4
Fos	Prdm1
Myc	Max
Ngf	Ngf
Ngf	Sorcs2
Ins1	H2-D1
Ins1	H2-Aa
Ins1	H2-Ab1
Ifnb1	Irf8
Ifnb1	Ifnar1
Ifnb1	Crebbp
Ifnb1	Irf3
Ifng	Tbx21
Il2ra	Il2
Cd8a	Cd8a
Cd8a	B2m
Cd8a	H2-D1
Cd8a	H2-K1
Cd8a	Lck
Cd8a	Cd8b
Cd8a	H2-T3
Igkc	Igkc
Igkc	Ighg
Igkc	Igh-1a
Igkc	Ighg2b
Igkc	Ighg1
Igkc	H2-L
Igkc	Igh
Trac	Trac
Ighg	Ighg
Ighg	Igkv8-30
Ighg	Trim21
Igh-1a	Igh-1a
Ighg2b	Ighg2b
Ighg1	Ighg1
Ighm	Ighm
Ighm	Cd79a
Ighm	Cd79b
B2m	B2m
B2m	H2-L
B2m	H2-Q10
B2m	H2-D1
B2m	H2-K1
B2m	H2-T23
B2m	Cd8b
B2m	Cd1d1
B2m	Cd1d2
B2m	H2-Q7
B2m	H2-T3
B2m	H2-M3
B2m	Klra3
B2m	Mr1
B2m	Mill2
H2-L	H2-L
H2-L	H2-T23
H2-L	TRAV9-4
H2-L	Ogdh
H2-L	Klrc1
H2-Q10	Klra3
H2-Q10	Rpn2
H2-D1	H2-D1
H2-D1	Cd8b
H2-D1	Klra1
H2-D1	Hsf2
H2-D1	Gtf2b
H2-D1	Dbh
H2-D1	Hm13
H2-D1	Tapbp
H2-K1	H2-K1
H2-K1	Insr
H2-K1	Dpagt1
H2-K1	TRADV16D
H2-K1	Ndufa4
H2-K1	Klra3
H2-K1	Kctd20
H2-K1	Rbm5
H2-K1	Prpf19
H2-Ea	H2-Ea
H2-Ea	H2-Eb1
Hba	Hba
Hba	Hbb-b1
Hbb-b1	Hbb-b1
Tp53	Tp53
Tp53	Mdm2
Tp53	Crebbp
Tp53	Uba52
Tp53	Skil
Lamc1	Lamb1
Lamc1	Nid1
Lamc1	Lama1
Lamc1	Ntn4
Lamb1	Lama1
Mtnd1	mt-Nd3
Mtnd1	Mtnd6
Mtnd1	H2-M3
Mtnd1	Ndufaf2
Mtnd1	Ndufa12
Mtnd1	Ndufs8
Mtnd1	Ndufs2
Mtnd1	Ndufa3
Mtnd1	Ndufa6
Mtnd1	Ndufa9
Mtnd1	Ndufs7
Mtnd1	Ndufa8
Mtnd1	Ndufa13
Mtnd1	Ndufa7
mt-Nd2	mt-Nd3
mt-Nd2	Mtnd4l
mt-Nd2	Mtnd4
mt-Nd2	Mtnd5
mt-Nd2	Mtnd6
mt-Nd2	Ndufs2
mt-Nd2	Ndufa10
mt-Nd2	Ndufs5
mt-Nd2	Ndufc2
mt-Nd2	Ndufb5
mt-Nd2	Ndufc1
mt-Nd2	Ndufa11
mt-Nd2	Ndufa8
mt-Nd3	Mtnd4l
mt-Nd3	Mtnd6
mt-Nd3	Ndufs2
mt-Nd3	Ndufa10
mt-Nd3	Ndufs5
mt-Nd3	Ndufa3
mt-Nd3	Ndufa6
mt-Nd3	Ndufa9
mt-Nd3	Ndufs7
mt-Nd3	Ndufs3
mt-Nd3	Ndufa13
Mtnd4l	Mtnd5
Mtnd4l	Mtnd6
Mtnd4l	Ndufs2
Mtnd4l	Ndufs5
Mtnd4	Mtnd5
Mtnd4	Ndufb1
Mtnd4	Ndufs2
Mtnd4	Ndufa10
Mtnd4	Ndufc2
Mtnd4	Ndufb4
Mtnd4	Ndufb5
Mtnd4	Ndufb9
Mtnd4	Ndufb8
Mtnd4	Ndufa11
Mtnd4	Ndufa8
Mtnd4	Ndufb10
Mtnd5	Cox7a2
Mtnd5	Ndufb6
Mtnd5	Ndufs2
Mtnd5	Ndufb2
Mtnd5	Ndufb4
Mtnd5	Ndufb5
Mtnd5	Ndufb9
Mtnd5	Ndufb3
Mtnd5	Ndufab1
Mtnd5	Ndufb7
Mtnd5	Ndufb8
Mtnd5	Ndufa11
Mtnd5	Ndufb10
Mtnd6	Ndufa10
Mtnd6	Ndufs5
Mtnd6	Ndufa3
Mtnd6	Ndufb5
Mtnd6	Ndufa6
Mtnd6	Ndufa9
Mtnd6	Ndufa13
Cfd	Cfd
Ada	Ada
Mycn	Max
Fabp4	Fabp4
Gzmb	Bid
Gzmb	Casp3
Gzmb	Casp7
H2-Aa	H2-Aa
H2-Aa	H2-Ab1
